d3mIndex,nodeID,community
4905,68576,430
4936,10584,431
4977,273374,432
5012,485258,433
5017,509043,434
5021,53293,435
5053,429007,436
5055,367144,437
5063,44277,438
5092,4365,439
5129,151751,440
5147,77793,441
5190,162112,442
5214,44363,443
5246,106810,444
5260,216724,445
5271,171678,446
5284,171678,447
5321,449838,448
5355,383249,449
5385,412738,450
5412,543173,451
5433,543162,452
5443,172369,453
5471,264382,454
5493,264382,455
5518,324311,456
5558,344070,457
5595,401686,458
5608,36793,459
5648,346403,460
5656,114686,461
5681,346403,462
5689,204591,463
5714,413664,464
5741,322564,465
5756,39538,466
5792,491208,467
5801,157089,468
5826,96158,469
5856,172939,470
5881,91927,471
5893,169543,472
5901,110748,473
5918,538480,474
5931,81957,475
5961,409202,476
5972,140762,477
6024,429580,478
6058,400164,479
6078,179922,480
6105,185449,481
6146,542683,482
6165,538480,483
6178,127568,484
6196,38970,485
6205,462944,486
6209,361696,487
6211,41256,488
6214,41256,489
6217,41256,490
6221,361696,491
6223,41256,492
6230,109422,493
6237,335007,494
6268,470095,495
6292,497338,496
6297,113773,497
6332,252800,498
6363,139410,499
6384,209823,500
6389,447929,501
6409,497338,502
6412,26762,503
6432,171491,504
6451,154047,505
6468,126757,506
6489,280334,507
6495,216065,508
6506,543619,509
6513,424680,510
6522,535420,511
6523,14599,512
6550,508622,513
6555,353931,514
6567,227747,515
6579,138301,516
6597,487203,517
6607,152868,518
6644,535420,519
6677,434233,520
6711,240218,521
6744,395309,522
6770,484370,523
6800,514297,524
6830,498010,525
6833,193375,526
6847,42346,527
6904,237078,528
6940,85979,529
6990,132503,530
7021,163485,531
7038,252788,532
7083,385730,533
7110,170410,534
7157,176695,535
7210,308167,536
7238,132671,537
7310,464728,538
7317,150515,539
7331,151456,540
7351,102751,541
7382,440539,542
7401,309062,543
7421,358004,544
7426,440525,545
7440,194103,546
7477,311040,547
7494,170304,548
7552,544730,549
7602,462530,550
7612,373569,551
7652,486888,552
7671,254623,553
7719,534623,554
7764,285633,555
7806,293177,556
7852,336749,557
7869,99819,558
7892,247058,559
7906,288952,560
7909,128209,561
7917,520891,562
7921,532724,563
7925,520891,564
7927,176255,565
7956,290331,566
8000,247096,567
8041,362180,568
8048,278864,569
8072,412804,570
8097,543173,571
8103,544403,572
8113,546317,573
8118,238939,574
8148,338709,575
8214,519832,576
8256,356166,577
8292,473521,578
8294,74550,579
8318,520268,580
8321,402485,581
8328,127568,582
8368,254423,583
8397,311631,584
8411,211862,585
8457,327818,586
8485,276724,587
8513,251852,588
8561,188698,589
8588,170327,590
8616,336749,591
8636,26999,592
8684,372238,593
8693,348108,594
8714,524843,595
8718,96158,596
8772,436124,597
8829,478514,598
8844,376757,599
8854,467673,600
8864,199941,601
8890,543799,602
8901,433881,603
8905,318313,604
8920,425449,605
8933,84346,606
8990,350288,607
9007,201574,608
9040,511619,609
9044,78589,610
9056,240874,611
9108,303160,612
9127,336468,613
9134,362231,614
9163,500862,615
9176,415253,616
9186,215112,617
9198,328644,618
9202,21659,619
9244,21659,620
9285,144629,621
9322,328483,622
9347,21695,623
9388,138890,624
9432,376846,625
9459,237989,626
9469,141343,627
9508,543899,628
9510,114378,629
9525,152903,630
9535,114378,631
9554,544421,632
9577,419909,633
9586,390340,634
9594,59216,635
9663,313734,636
9711,348809,637
9737,238496,638
9738,31442,639
9743,31442,640
9750,114651,641
9791,500867,642
9821,500865,643
9830,140014,644
9839,116154,645
9848,164738,646
9889,282906,647
9934,255998,648
10018,406316,649
10038,5081,650
10117,419738,651
10153,158023,652
10194,93814,653
10215,356740,654
10244,305716,655
10263,323657,656
10268,343145,657
10307,436124,658
10316,412241,659
10317,73086,660
10343,233838,661
10372,252984,662
10380,335007,663
10400,210462,664
10433,510899,665
10436,109859,666
10445,131554,667
10454,278731,668
10462,317254,669
10468,278731,670
10483,329470,671
10488,272830,672
10493,65561,673
10509,515081,674
10521,110311,675
10598,118660,676
10694,274961,677
10745,205505,678
10773,316486,679
10811,216697,680
10854,308223,681
10859,39537,682
10890,102398,683
10920,527614,684
10926,359086,685
10991,427277,686
11010,81909,687
11059,486535,688
11063,128205,689
11071,31173,690
11084,53701,691
11098,125538,692
11164,315637,693
11209,498286,694
11213,68139,695
11233,58441,696
11297,102502,697
11344,93385,698
11366,168327,699
11379,273441,700
11382,273441,701
11384,67554,702
11403,462984,703
11427,409816,704
11464,185834,705
11526,105920,706
11568,164600,707
11630,194419,708
11633,13343,709
11636,13343,710
11644,389547,711
11692,543247,712
11708,432505,713
11763,436758,714
11781,70601,715
11792,531441,716
11800,110514,717
11853,247058,718
11886,192985,719
11894,288126,720
11904,234292,721
11914,506531,722
11918,342953,723
11954,431150,724
11968,542439,725
11976,354356,726
11988,443826,727
11996,171491,728
12016,472012,729
12029,128871,730
12112,326049,731
12163,282787,732
12174,373969,733
12179,46365,734
12192,373969,735
12195,5465,736
12200,353015,737
12208,77064,738
12253,325643,739
12272,276501,740
12282,535832,741
12286,307436,742
12293,174182,743
12306,500534,744
12339,408836,745
12351,257621,746
12362,42687,747
12375,433612,748
12378,433612,749
12385,425574,750
12389,17479,751
12405,166536,752
12495,527136,753
12499,161487,754
12504,520439,755
12505,314443,756
12514,537841,757
12536,359616,758
12549,314450,759
12554,353272,760
12568,76261,761
12706,403329,762
12743,403287,763
12759,196637,764
12775,353272,765
12777,314443,766
12784,479970,767
12792,190467,768
12807,420617,769
12826,147835,770
12904,164375,771
12918,270238,772
12922,345032,773
12925,249599,774
12939,114138,775
12979,14698,776
13004,496847,777
13012,347926,778
13023,429358,779
13029,182037,780
13032,263163,781
13050,542948,782
13061,322607,783
13068,391697,784
13076,385265,785
13084,278864,786
13092,110413,787
13106,40318,788
13213,138094,789
13222,353272,790
13227,479970,791
13228,314443,792
13234,353272,793
13238,353272,794
13242,353272,795
13245,27853,796
13258,96430,797
13291,283440,798
13319,351254,799
13345,278146,800
13408,480884,801
13443,538792,802
13459,336727,803
13472,55735,804
13502,508006,805
13526,473456,806
13533,365781,807
13539,300830,808
13544,82245,809
13555,496284,810
13558,192636,811
13590,323378,812
13613,95539,813
13628,444566,814
13632,369920,815
13646,200196,816
13658,275375,817
13694,432569,818
13712,346403,819
13719,232761,820
13723,304564,821
13749,167799,822
13780,434697,823
13814,389473,824
13832,238496,825
13863,490890,826
13881,495975,827
13887,76467,828
13905,203993,829
13918,522043,830
13919,62554,831
13928,452195,832
13931,331579,833
13935,206513,834
13941,260897,835
14000,407273,836
14030,517527,837
14038,386269,838
14045,511685,839
14055,128696,840
14085,115979,841
14128,384795,842
14146,513582,843
14151,353635,844
14178,470946,845
14191,150058,846
14206,395227,847
14238,412353,848
14254,86953,849
14268,341322,850
14275,341322,851
14285,341344,852
14293,341352,853
14300,341352,854
14306,341344,855
14316,370860,856
14321,112925,857
14419,502212,858
14451,475012,859
14461,199682,860
14497,285560,861
14528,367309,862
14536,345010,863
14582,516992,864
14588,201574,865
14601,39542,866
14625,127568,867
14644,467601,868
14655,273700,869
14678,405645,870
14684,342426,871
14689,210439,872
14719,453635,873
14758,496578,874
14768,208899,875
14775,12060,876
14781,29584,877
14787,445494,878
14789,12062,879
14836,516992,880
14838,112925,881
14845,122613,882
14855,111726,883
14867,122613,884
14879,146317,885
14886,121794,886
14891,314450,887
14894,314443,888
14899,314450,889
15002,482584,890
15039,78548,891
15263,464824,892
15293,140949,893
15301,34869,894
15315,476208,895
15321,341344,896
15327,341326,897
15337,406477,898
15348,341352,899
15362,503387,900
15366,297677,901
15374,299905,902
15381,34204,903
15404,235864,904
15415,491949,905
15419,463375,906
15422,377661,907
15444,402267,908
15476,337607,909
15539,516044,910
15544,155398,911
15561,521391,912
15564,212108,913
15573,245498,914
15578,335156,915
15590,531212,916
15595,308654,917
15604,172595,918
15617,376908,919
15622,116233,920
15633,161318,921
15646,73938,922
15676,320317,923
15682,382792,924
15689,213681,925
15691,2641,926
15719,473755,927
15742,445998,928
15779,253914,929
15796,293039,930
15804,148221,931
15809,74552,932
15863,372395,933
15867,150543,934
15883,186430,935
15893,190064,936
15906,303698,937
15910,179001,938
15913,198055,939
15923,148221,940
15939,467636,941
15947,308769,942
15955,409881,943
15958,256513,944
15961,36956,945
15981,543161,946
15987,443571,947
15991,343145,948
15995,33371,949
16003,520439,950
16007,463375,951
16012,341326,952
16018,341324,953
16022,278731,954
16029,253126,955
16049,301867,956
16072,144982,957
16093,271402,958
16105,366784,959
16106,42761,960
16117,421279,961
16121,335156,962
16134,129002,963
16183,468775,964
16195,339985,965
16203,218279,966
16207,44578,967
16218,12346,968
16227,199086,969
16233,110512,970
16238,5384,971
16252,310314,972
16262,311778,973
16264,18479,974
16277,389114,975
16282,97202,976
16288,350932,977
16302,319526,978
16320,346393,979
16328,147315,980
16354,131211,981
16399,352692,982
16416,468596,983
16421,269199,984
16432,292001,985
16438,196135,986
16450,520755,987
16454,508971,988
16484,204274,989
16548,196135,990
16551,20571,991
16560,116757,992
16572,432850,993
16578,275015,994
16581,154138,995
16588,73933,996
16622,543522,997
16631,485750,998
16632,11212,999
16644,345483,1000
16656,510899,1001
16661,447090,1002
16663,74012,1003
16687,530238,1004
16696,392187,1005
16700,263151,1006
16708,12062,1007
16713,109591,1008
16735,305536,1009
16752,144713,1010
16781,265611,1011
16783,410601,1012
16786,181409,1013
16790,12060,1014
16794,12060,1015
16800,29584,1016
16802,12060,1017
16808,252076,1018
16815,117816,1019
16819,44315,1020
16827,133589,1021
16836,402485,1022
16843,426387,1023
16848,49268,1024
16862,402784,1025
16880,245861,1026
16898,287742,1027
16995,412826,1028
17031,518689,1029
17037,401355,1030
17043,48394,1031
17046,45104,1032
17064,530227,1033
17067,263164,1034
17073,33054,1035
17088,500917,1036
17095,327449,1037
17104,487657,1038
17105,21742,1039
17139,243863,1040
17167,183955,1041
17171,126694,1042
17179,177192,1043
17183,197137,1044
17191,256515,1045
17230,547836,1046
17240,222158,1047
17277,183955,1048
17284,382058,1049
17291,225413,1050
17302,404231,1051
17306,180936,1052
17322,419250,1053
17340,465116,1054
17384,439622,1055
17394,51246,1056
17401,316053,1057
17404,134247,1058
17436,167801,1059
17545,523270,1060
17581,513275,1061
17582,219649,1062
17588,219649,1063
17598,428582,1064
17620,127199,1065
17750,541417,1066
17757,428582,1067
17762,263164,1068
17767,53198,1069
17784,313239,1070
17797,522287,1071
17800,192052,1072
17804,60243,1073
17812,268119,1074
17815,80905,1075
17819,298418,1076
17823,93274,1077
17841,406965,1078
17877,467217,1079
17890,260685,1080
17893,412528,1081
17932,512492,1082
17939,74788,1083
17945,517791,1084
17951,102545,1085
17984,361444,1086
17994,330175,1087
17996,73466,1088
18000,176255,1089
18004,315381,1090
18006,176255,1091
18056,543874,1092
18074,544730,1093
18105,543666,1094
18128,334802,1095
18164,414330,1096
18184,433045,1097
18198,408215,1098
18206,260630,1099
18217,189478,1100
18231,112825,1101
18274,444051,1102
18287,479970,1103
18288,314443,1104
18294,353272,1105
18310,428498,1106
18331,320317,1107
18337,382792,1108
18344,213681,1109
18348,49830,1110
18373,410601,1111
18377,385314,1112
18380,11312,1113
18411,492497,1114
18414,410601,1115
18420,410603,1116
18426,103117,1117
18444,264870,1118
18467,75245,1119
18501,23490,1120
18521,486195,1121
18525,110512,1122
18530,2770,1123
18567,250530,1124
18586,457072,1125
18589,429715,1126
18593,119215,1127
18622,492497,1128
18634,456320,1129
18639,455453,1130
18642,186907,1131
18669,216822,1132
18703,97257,1133
18719,34448,1134
18730,293656,1135
18736,496857,1136
18745,314957,1137
18758,348574,1138
18790,305716,1139
18806,161938,1140
18819,335486,1141
18839,504887,1142
18852,538606,1143
18855,354072,1144
18859,189129,1145
18871,280497,1146
18909,408836,1147
18919,160798,1148
18932,178077,1149
18956,408416,1150
18970,151422,1151
18971,58392,1152
18982,318580,1153
18997,408235,1154
19002,497007,1155
19006,29420,1156
19093,246767,1157
19119,128781,1158
19145,181169,1159
19151,128,1160
19166,504753,1161
19173,544099,1162
19180,243593,1163
19191,35615,1164
19197,260990,1165
19201,128205,1166
19211,353015,1167
19246,251391,1168
19279,95977,1169
19314,356956,1170
19319,74320,1171
19336,446662,1172
19347,134561,1173
19359,12062,1174
19390,494077,1175
19406,261558,1176
19429,427444,1177
19442,163205,1178
19480,221436,1179
19504,473120,1180
19506,249827,1181
19513,308768,1182
19533,267623,1183
19552,253776,1184
19563,60508,1185
19575,363864,1186
19580,324450,1187
19589,96158,1188
19635,76908,1189
19692,9284,1190
19719,321841,1191
19727,207285,1192
19742,144193,1193
19806,546017,1194
19857,546961,1195
19861,132531,1196
19871,171972,1197
19880,505411,1198
19883,58894,1199
19899,476278,1200
19905,269906,1201
19916,463766,1202
19919,535855,1203
19921,211795,1204
19930,104191,1205
19935,193203,1206
19939,21166,1207
19946,334490,1208
19963,436828,1209
19974,101413,1210
19987,80442,1211
20018,321740,1212
20029,245639,1213
20040,435715,1214
20047,114378,1215
20061,126438,1216
20068,119540,1217
20072,35237,1218
20081,361696,1219
20083,5223,1220
20096,417645,1221
20109,151750,1222
20134,543522,1223
20141,520037,1224
20146,459621,1225
20150,337585,1226
20159,268915,1227
20162,188421,1228
20178,274294,1229
20186,261804,1230
20197,535702,1231
20202,518638,1232
20217,445944,1233
20225,248473,1234
20233,448166,1235
20235,354618,1236
20241,450744,1237
20247,128583,1238
20263,164686,1239
20280,486535,1240
20285,174208,1241
20324,323378,1242
20344,98742,1243
20362,545919,1244
20365,16832,1245
20381,124244,1246
20418,486252,1247
20425,17479,1248
20434,20193,1249
20447,426387,1250
20452,482725,1251
20481,481690,1252
20488,112169,1253
20523,367186,1254
20535,83155,1255
20558,278335,1256
20568,495066,1257
20571,103897,1258
20579,200920,1259
20585,100579,1260
20594,96158,1261
20617,334903,1262
20624,353015,1263
20627,107582,1264
20644,359987,1265
20653,366254,1266
20658,533255,1267
20659,18471,1268
20757,476504,1269
20763,456555,1270
20767,276154,1271
20776,473351,1272
20783,365285,1273
20788,445322,1274
20791,98075,1275
20796,303749,1276
20813,372562,1277
20825,417412,1278
20832,138325,1279
20848,376450,1280
20865,456621,1281
20869,213615,1282
20882,232830,1283
20915,249702,1284
20924,181666,1285
20929,111726,1286
20945,147107,1287
20953,122622,1288
20962,258340,1289
20967,3210,1290
21029,356399,1291
21060,460256,1292
21080,317602,1293
21093,413213,1294
21099,304046,1295
21105,57365,1296
21113,496855,1297
21115,73,1298
21134,230413,1299
21146,357406,1300
21177,345746,1301
21202,356159,1302
21214,285631,1303
21221,186907,1304
21228,133087,1305
21244,541044,1306
21245,62212,1307
21252,53535,1308
21264,106506,1309
21285,142299,1310
21300,163775,1311
21306,537922,1312
21307,4624,1313
21312,131925,1314
21318,16793,1315
21336,421692,1316
21357,97871,1317
21413,458612,1318
21416,31185,1319
21467,438354,1320
21474,161938,1321
21488,349932,1322
21497,155031,1323
21531,367186,1324
21543,149144,1325
21547,69059,1326
21560,393657,1327
21581,393666,1328
21609,479901,1329
21614,327234,1330
21626,529587,1331
21649,434163,1332
21653,24554,1333
21663,445322,1334
21669,452195,1335
21673,395427,1336
21675,491421,1337
21743,442010,1338
21783,339441,1339
21802,463827,1340
21807,124093,1341
21821,171979,1342
21836,340825,1343
21837,117069,1344
21847,414430,1345
21851,478037,1346
21854,35472,1347
21871,223802,1348
21882,68871,1349
21908,272582,1350
21913,38085,1351
21945,319569,1352
21951,21193,1353
21973,302342,1354
21982,36892,1355
22011,480478,1356
22023,174631,1357
22057,480479,1358
22066,91623,1359
22083,471280,1360
22087,361698,1361
22093,537841,1362
22094,88809,1363
22101,240113,1364
22116,464000,1365
22118,142980,1366
22129,265064,1367
22134,535138,1368
22135,112813,1369
22139,33371,1370
22149,137498,1371
22188,508419,1372
22201,547883,1373
22202,124476,1374
22213,547406,1375
22214,22153,1376
22227,97202,1377
22235,227643,1378
22239,303218,1379
22306,426084,1380
22342,426827,1381
22354,139293,1382
22389,308901,1383
22403,177753,1384
22411,270559,1385
22420,325048,1386
22429,270034,1387
22436,435234,1388
22439,28914,1389
22445,511862,1390
22479,543434,1391
22481,312402,1392
22496,280334,1393
22507,247059,1394
22525,546961,1395
22529,316053,1396
22531,288952,1397
22534,59514,1398
22562,277890,1399
22586,542870,1400
22596,538298,1401
22617,388934,1402
22628,151456,1403
22654,179921,1404
22671,178128,1405
22692,200801,1406
22737,331333,1407
22758,322320,1408
22780,124351,1409
22794,418046,1410
22803,298877,1411
22829,421754,1412
22854,379022,1413
22863,250185,1414
22867,349175,1415
22882,158753,1416
22913,82034,1417
22947,480482,1418
22950,103425,1419
22960,249827,1420
22964,74447,1421
22975,472121,1422
22979,90445,1423
22995,438089,1424
22999,58894,1425
23008,10180,1426
23024,479488,1427
23029,505924,1428
23039,151751,1429
23065,247059,1430
23082,429927,1431
23083,278308,1432
23093,496149,1433
23096,244635,1434
23100,172861,1435
23111,283188,1436
23128,14280,1437
23137,128544,1438
23147,317254,1439
23153,128544,1440
23161,128544,1441
23176,341352,1442
23180,341322,1443
23185,128544,1444
23198,341326,1445
23204,341322,1446
23214,513847,1447
23225,140717,1448
23265,269637,1449
23290,337558,1450
23296,10894,1451
23309,188388,1452
23360,444456,1453
23373,3114,1454
23412,221076,1455
23422,70513,1456
23463,20550,1457
23473,18588,1458
23486,450237,1459
23489,98742,1460
23499,94085,1461
23513,80072,1462
23524,244635,1463
23528,80429,1464
23541,290148,1465
23574,305716,1466
23599,492595,1467
23608,216724,1468
23621,380137,1469
23628,377039,1470
23633,363073,1471
23639,170327,1472
23645,496793,1473
23681,130619,1474
23772,243994,1475
23788,209104,1476
23805,76246,1477
23816,104766,1478
23844,254829,1479
23847,354618,1480
23854,336521,1481
23864,25705,1482
23878,424871,1483
23881,53654,1484
23889,537472,1485
23890,5486,1486
23898,53577,1487
23902,52177,1488
23910,449093,1489
23913,156266,1490
23941,399876,1491
23950,87694,1492
23967,103133,1493
23986,522815,1494
23991,455700,1495
23993,85960,1496
23997,37922,1497
24000,37922,1498
24007,99684,1499
24055,194407,1500
24081,107705,1501
24117,460517,1502
24125,203622,1503
24147,123183,1504
24171,417575,1505
24179,540054,1506
24186,332827,1507
24199,143357,1508
24233,294762,1509
24242,377661,1510
24245,537116,1511
24246,172861,1512
24254,135241,1513
24279,288817,1514
24298,340505,1515
24307,427876,1516
24310,464708,1517
24317,235901,1518
24337,157624,1519
24375,110507,1520
24396,157624,1521
24435,110512,1522
24464,543762,1523
24483,543162,1524
24514,432613,1525
24517,348108,1526
24525,72183,1527
24537,161938,1528
24552,234650,1529
24559,234292,1530
24568,90608,1531
24575,338843,1532
24583,170327,1533
24585,33175,1534
24602,201574,1535
24613,226898,1536
24625,356196,1537
24635,391732,1538
24640,483701,1539
24644,78359,1540
24648,287533,1541
24654,123508,1542
24660,351760,1543
24662,250240,1544
24674,530490,1545
24678,352253,1546
24685,454021,1547
24688,97106,1548
24718,320287,1549
24742,517526,1550
24750,215112,1551
24759,359673,1552
24770,487438,1553
24775,351760,1554
24778,233306,1555
24786,446022,1556
24790,341324,1557
24795,413700,1558
24833,438354,1559
24840,233468,1560
24863,523685,1561
24871,486195,1562
24878,328644,1563
24883,170327,1564
24892,273712,1565
24902,389999,1566
24904,62937,1567
24915,98804,1568
24929,500917,1569
24937,341995,1570
24949,7834,1571
24957,353325,1572
24960,363229,1573
24968,373438,1574
24973,256515,1575
24981,488055,1576
24987,387855,1577
24998,304985,1578
25005,1640,1579
25026,353933,1580
25046,489348,1581
25055,397189,1582
25069,296533,1583
25116,543162,1584
25169,548188,1585
25175,4767,1586
25214,533157,1587
25218,110748,1588
25227,119246,1589
25233,171972,1590
25264,304646,1591
25332,463968,1592
25336,141160,1593
25363,295279,1594
25378,170945,1595
25395,313239,1596
25403,373969,1597
25410,303647,1598
25416,218900,1599
25423,166344,1600
25430,509043,1601
25433,429007,1602
25435,21053,1603
25456,196867,1604
25467,347332,1605
25472,338690,1606
25480,473674,1607
25485,365448,1608
25490,474241,1609
25495,464555,1610
25501,476153,1611
25533,331669,1612
25567,123975,1613
25602,136590,1614
25632,395464,1615
25638,144069,1616
25649,64751,1617
25663,323498,1618
25668,177301,1619
25676,301581,1620
25681,275568,1621
25690,456488,1622
25691,211006,1623
25700,366784,1624
25702,243477,1625
25708,241485,1626
25718,21859,1627
25908,416018,1628
25951,350128,1629
25978,289158,1630
25992,72733,1631
26006,117609,1632
26016,361698,1633
26019,302845,1634
26020,213603,1635
26046,520958,1636
26061,521061,1637
26072,531758,1638
26075,32025,1639
26087,517525,1640
26098,348925,1641
26102,138036,1642
26111,336994,1643
26113,91816,1644
26116,105089,1645
26130,247467,1646
26150,18596,1647
26185,483774,1648
26188,234292,1649
26196,243477,1650
26203,82400,1651
26211,66574,1652
26219,236045,1653
26227,527915,1654
26231,462944,1655
26235,82995,1656
26246,128645,1657
26273,160294,1658
26277,94531,1659
26284,290786,1660
26293,408401,1661
26299,137503,1662
26341,369793,1663
26369,300111,1664
26399,308901,1665
26412,352183,1666
26418,369720,1667
26422,28959,1668
26449,411761,1669
26466,426205,1670
26467,227683,1671
26474,356431,1672
26481,356426,1673
26490,415787,1674
26507,542826,1675
26524,109195,1676
26561,487879,1677
26570,294372,1678
26575,230382,1679
