d3mIndex,G1.nodeID,G2.nodeID,match
199,Carsten Floeter,66bb3a21181e41a6,0
200,Margot Rantzow,0fd3077e6cc667a1,1
201,Lydia Nolte,361752b1b525b8d0,0
202,Hildegard Scholz,9165ccc367c486f8,0
203,Dr. Ludwig Dressler,aca1a46393f573ba,0
205,Martha,6452f2c91227df15,1
206,Der Englaender,d5ad3f7192210fac,0
207,Willy Jenner,585c99105274999f,1
208,Paul Nolte,58435d00b6e824e8,1
209,v200,5f106d2c96905f6e,1
211,v184,b4d8ad96fa0d51e1,0
212,Rosi Koch,a47bc2bb7f3163c7,1
213,v205,9d58da585615550b,1
214,Carola,b4d2e67da9589371,1
215,v219,a259de7561b6e42d,1
216,v221,d6b14934e3498dde,1
217,Dr. Eva-Maria Sperling,25e82174e441182a,1
218,Simone Fitz,5d4c3b850475533c,1
219,Lothar Boedefeld,35d1ead400fb460e,0
220,v226,1bd610a89af750f5,1
221,Tanja Schildknecht-Dressler,b196f3c4c1c1108f,0
222,Irina Winicki,25c5b8d262185d76,0
223,Flora,0c8615e536046940,1
224,Sarah Ziegler,be36bb5476e3a5ef,1
225,v213,a114485be3078b45,0
228,Elvira,2864bcd491fba2ae,0
229,Elvira,419bc6c0c811a19b,1
231,v212,eb437256367597c6,0
232,Tante Betty Elizabeth Susan Schiller,6b691669b2e330fa,1
234,v222,68d5d2dd7447ed18,0
235,Dr. Ludwig Dressler,27c0c49051f0ccd5,1
236,Henny Schildknecht,99ab7c308bcb976f,0
237,Wilhelm Loesch,eb437256367597c6,1
238,v197,d5ad3f7192210fac,0
239,Professor Dr. Rudolf Tenge-Wegemmann,6194fd78293a8908,1
240,v187,2a237d72964ea8c8,1
241,Winifred Snyder,7eb89cf7ec2b1123,1
242,Muetze,42a754b609538ec9,1
243,Hans Wilhelm Huelsch,cb03ca0bd76d4a8e,1
244,Vera Schildknecht,d45ccc3f9f5b7fa2,1
245,Boris Ecker,68d5d2dd7447ed18,1
246,v171,30796f3322bf00a1,1
247,Max Zenker-gefunden,22b040382be76267,1
248,v223,42bf69e2827fd819,0
249,Franz Schildknecht,d45ccc3f9f5b7fa2,0
251,v229,4af3636d940ed0df,1
252,v222,75e288d595ccda32,1
253,Elfie Kronmayr,e03b8d930a3176cf,1
254,Lothar Boedefeld,7fe3149a10f0be8b,1
255,Dimitri Pallas,543d2121b220e2d0,0
256,Frank Dressler,655e6fd7ba4d6176,1
257,Winifred Snyder,f737928cb0d39d96,0
258,v205,419bc6c0c811a19b,0
259,Claudia Kling-Rantzow,38451820b09b1629,0
260,Julia von der Marwitz,a495d4823272fa5a,1
261,Dani Schmitz,361752b1b525b8d0,1
262,Elfie Kronmayr,7d252e6c31be583e,0
263,v207,9560dfd6563c4ab8,1
264,Alexandros Kling,37488e07b4553d64,0
265,Herr Huetthusen,69ba52b1f5c8abad,0
266,Zorro Franz Josef Pelsteiner,76d4813399d9dc10,1
267,v194,5d05274a12829cee,0
268,Celin Otto Wilhelm Kern,a8f5afb9c38ec26b,0
269,Chris Barnsteg,a0bb25f1aa390316,1
270,v227,6cd8b19a56082b94,1
271,v229,b0eadd2d80a26bdd,0
272,v214,fd90a3801ed28a33,1
273,Herr Floether,b196f3c4c1c1108f,1
274,Wolf Drewitz,474568ce5e88c955,1
275,v216,4a346a7b8e09ff0f,1
276,Vasily Sarikakis,ce38dc51292c7148,1
277,Olaf Kling,aca1a46393f573ba,1
278,Franz Schildknecht,65ac608e91a82caa,1
279,Marcella Varese,d188e40558519734,0
280,v201,b7a3fb15cfd663b6,1
281,Phil Seegers,a5ed74537307d224,0
282,Kurt Sperling,79aa3134b3d3dff6,1
283,Dominique Mourrait,9abe75af2cb94e51,0
284,v231,3bb991f738947f7f,1
285,v164,4553e2fb16aab814,0
286,Katharina Jenner,a8f5afb9c38ec26b,1
287,v209,1e60473fef79e655,0
288,Benno Zimmermann,9e7f196de0542904,1
289,Rolf Sattler,a1a73969ba5e9aaa,1
290,Wolf-Dieter Dabelstein,db8c9c08d78c8b1c,1
291,Gert Weinbauer,3b773ced8b96c79a,1
292,Gung Pahm Kien,f737928cb0d39d96,1
293,Hilmar Eggers,033aee198b2aca2c,1
294,Olli Klatt,27cf64fd23d38e43,1
295,Fritz,30139b730c4f5fc0,1
296,Paolo Varese,7beb65723fd3643e,1
297,Karl Koch,ea81c14c7e0b2194,0
298,Inka Fuchs,3ec951aa90a16b3a,0
299,v217,f7d987d526a90395,1
300,Nina Winter,5d4c3b850475533c,0
301,Hubert Koch,8fbbb098d349e005,0
302,Friedemann Traube,2b3781f1330bbc0d,0
303,v208,743e0e63d5a6e1ab,1
304,v213,c3095105428f340e,1
306,Inge Kling,7063425adb48bd7f,0
307,Chromo Hoyonda,c24114560170a192,0
308,Corinna Marx,d4f185bd673d337b,0
309,Professor Dr. Rudolf Tenge-Wegemmann,7a276e57977cd203,0
310,v196,574b7987f068c32c,0
311,v187,ba65cad114f817ed,0
312,v202,fccf06608bf11b4a,1
313,Dora Witt,6c8391e038a50a6d,1
314,Tanja Schildknecht-Dressler,b5ff5d57fd056148,1
315,v218,c24114560170a192,1
316,v191,cc6e972f0d8d32a5,1
317,Nico Zenker,c67bc346b5eadfe9,0
319,Leo Klamm,414839f413f0300a,1
320,Elena Sarikakis,b58a0c6c05ee063e,1
321,David Motibe,0dee331e584bc1f2,1
322,Fausto Rossini,53e45c0384a6564a,1
323,Nico Zenker,7efc5fecf861000d,1
324,v206,ef67696fe5b237a4,1
325,Stefan Nossek,a8b43484b2bd76d7,1
326,Gert Weinbauer,56c49a640fe6c7cb,0
327,Gernot,25c5b8d262185d76,1
328,Panaiotis Sarikakis,294ca9cff4ac0456,1
329,Martha,85213a2fef362995,0
330,Zeki Kurtalan,66bb3a21181e41a6,0
331,Hajo Scholz,5e019a21dec4f619,1
332,Sophie Ziegler,27c0c49051f0ccd5,0
333,Zeki Kurtalan,4a09d11da43f6cd6,1
334,Vera Schildknecht,cda6b749530b8ab7,0
335,v165,92263a16e336603e,1
336,Hubert Panowak,79025b46f4031806,0
337,v211,788e2a1f206853f7,0
339,Frau Horowitz,0d9335e5b8f0528b,0
340,Ernst+Lisl Wiesenhuber,8632d6a2841b9210,0
341,Paula Madalena Francesca Winicki,25c5b8d262185d76,0
343,Isolde Pavarotti,e5570372eb88e9fe,1
344,Sonia Besirski,2207c4db6e3c7e63,1
345,Natascha Rantzow,1b656fbb9c004dc8,1
346,v190,dea62a3cfbad2500,1
347,Ernst-Hugo von Salen-Priesnitz,e7bdba56e46dc006,0
348,v188,c649b97524c4155f,1
349,Theresa Zenker,b6694fed15632e49,1
350,Carsten Floeter,d9509dd8244eff73,1
351,Claudia Kling-Rantzow,7213e2c6557b8d11,1
352,v219,10fbcf7be48d58e7,0
353,Margot Rantzow,0cc68d8c1898685d,0
354,v217,a5930fd1a4cae184,0
355,Manoel Griese,717e957ba791e371,1
356,Benny Beimer,a8b43484b2bd76d7,0
357,Hannes,99ab7c308bcb976f,1
358,Gernot,38451820b09b1629,0
359,v192,ef834c912eb739c0,1
360,Christoph Bogner,10fbcf7be48d58e7,0
361,Jaruslav Winicki,05748500d49ee0d8,0
362,v186,76d4813399d9dc10,0
363,Rosi Koch,0de42138f8e27a25,0
364,Philo Bennarsch,cda6b749530b8ab7,1
365,Paul Bennarsch,ea81c14c7e0b2194,1
367,Dr. Rard Kirch,6acbde086d9675ba,0
368,Anja Herrlinger,7063425adb48bd7f,1
369,Harry,4c77aacc24976f05,1
371,v215,e4915850a06b3077,1
372,Nina Winter,d46e67886fedc8f2,1
373,Sarah Ziegler,c3095105428f340e,0
374,Berta Griese,b0f9d83ba141a103,1
375,v189,fd5dc78ee578ed6a,1
376,Irina Winicki,2cc026b20adc6d43,1
377,Karin Atter,7d252e6c31be583e,1
378,Simone Fitz,a259de7561b6e42d,0
379,Katharina Jenner,b7a3fb15cfd663b6,0
