d3mIndex,Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income,Trips
84,26.0,0.0,968.75,48.0003,0,2.0,2.0,6.876006581,0
85,43.0,0.0,937.5,48.0003,0,1.0,2.0,6.843216758,1
86,22.0,0.0,375.0,403.8,0,0.0,0.0,5.926926026,0
87,15.0,1.0,247.52475249999998,48.0003,0,1.0,2.0,5.511510587,0
88,31.0,1.0,312.5,48.0003,0,1.0,0.0,5.7446044689999995,1
89,23.0,1.0,343.75,48.0003,0,2.0,2.0,5.839914649,0
90,62.0,0.0,198.019802,48.0003,0,0.0,0.0,5.288367036,0
91,25.0,1.0,625.0,52.2,0,1.0,2.0,6.43775165,0
92,20.0,1.0,2000.0,535.5,0,1.0,1.0,7.60090246,0
93,30.0,1.0,625.0,48.0003,0,0.0,0.0,6.43775165,0
94,27.0,1.0,102.5,160.2,0,0.0,0.0,4.629862799,0
96,20.0,1.0,3125.0,48.0003,0,0.0,1.0,8.047189562,0
97,18.0,0.0,1875.0,48.0003,0,2.0,1.0,7.536363937999999,0
98,41.0,0.0,1485.148515,303.6,0,0.0,0.0,7.303270056000001,0
100,37.0,0.0,937.5,1005.9,0,0.0,0.0,6.843216758,0
101,19.0,1.0,1980.1980199999998,48.0003,0,0.0,1.0,7.590952129,1
102,39.0,0.0,371.2871287,48.0003,0,2.0,2.0,5.916975695,0
103,42.0,1.0,6250.0,48.0003,0,0.0,0.0,8.740336743,0
104,42.0,1.0,937.5,48.0,0,1.0,2.0,6.843216758,0
105,39.0,1.0,1435.643564,197.4,0,2.0,2.0,7.269368505,0
107,37.0,0.0,742.5742574,48.0003,0,0.0,1.0,6.610122876,0
108,21.0,1.0,562.5,48.0003,0,3.0,1.0,6.332391134,1
109,33.0,0.0,1093.75,48.0,1,1.0,1.0,6.9973674379999995,0
110,43.0,1.0,,48.0,0,0.0,0.0,,0
111,22.0,0.0,937.5,48.0003,0,5.0,2.0,6.843216758,3
112,20.0,1.0,156.25,161.7,0,1.0,1.0,5.051457289,0
113,45.0,0.0,1875.0,48.0003,0,1.0,1.0,7.536363937999999,0
114,21.0,1.0,937.5,48.0003,0,5.0,2.0,6.843216758,2
115,36.0,1.0,562.5,48.0,0,2.0,2.0,6.332391134,0
118,19.0,0.0,625.0,82.2,0,2.0,2.0,6.43775165,0
119,36.0,0.0,781.25,196.2,0,3.0,0.0,6.660895201000001,0
121,23.0,1.0,1718.75,48.0003,0,0.0,0.0,7.449352561,0
123,34.0,1.0,1250.0,288.0,0,0.0,0.0,7.13089883,0
124,28.0,0.0,781.25,190.8,0,0.0,0.0,6.660895201000001,0
125,28.0,0.0,618.8118812000001,60.0,0,0.0,0.0,6.427801318999999,0
126,30.0,0.0,250.0,48.0,0,0.0,1.0,5.521460918,0
127,40.0,0.0,2187.5,349.2,0,0.0,0.0,7.690514618,0
128,62.0,0.0,,48.0003,0,3.0,3.0,,0
129,54.0,0.0,218.75,52.2,0,0.0,0.0,5.387929525,1
131,40.0,0.0,2187.5,48.0003,0,1.0,1.0,7.690514618,0
133,20.0,0.0,250.0,48.0003,0,3.0,1.0,5.521460918,0
135,47.0,0.0,625.0,21.0,0,4.0,2.0,6.43775165,2
136,28.0,0.0,937.5,118.5,1,2.0,1.0,6.843216758,0
137,22.0,0.0,297.029703,48.0003,0,0.0,0.0,5.693832144,1
138,24.0,1.0,58.63,48.0003,1,0.0,0.0,4.071246511,0
142,28.0,1.0,2500.0,45.0,1,3.0,3.0,7.824046011,0
143,32.0,1.0,937.5,48.0003,0,2.0,1.0,6.843216758,0
144,31.0,0.0,781.25,170.4,0,1.0,1.0,6.660895201000001,0
145,37.0,0.0,1875.0,163.5,0,0.0,0.0,7.536363937999999,0
146,21.0,1.0,1250.0,161.7,0,0.0,0.0,7.13089883,0
147,45.0,0.0,1250.0,118.5,1,0.0,0.0,7.13089883,0
148,25.0,1.0,375.0,170.4,0,0.0,0.0,5.926926026,0
149,48.0,4.0,3500.0,48.0,0,1.0,2.0,8.160518247,0
150,36.0,1.0,1562.5,48.0003,0,2.0,2.0,7.354042382,0
151,20.0,0.0,1562.5,48.0003,0,3.0,1.0,7.354042382,1
152,44.0,0.0,2500.0,48.0003,0,2.0,2.0,7.824046011,0
153,17.0,1.0,1562.5,48.0003,1,2.0,2.0,7.354042382,0
154,40.0,0.0,,52.2,0,0.0,0.0,,0
155,25.0,0.0,156.25,48.0,1,0.0,0.0,5.051457289,0
156,19.0,1.0,,52.2,0,1.0,2.0,,0
158,36.0,1.0,1250.0,170.4,0,0.0,0.0,7.13089883,0
159,21.0,0.0,1172.5,48.0003,0,2.0,2.0,7.0668935,1
160,54.0,1.0,1406.25,48.0003,0,1.0,1.0,7.248681866,0
161,27.0,1.0,875.0,170.4,1,0.0,0.0,6.774223886000001,0
162,18.0,0.0,175.88,29.4,0,0.0,0.0,5.169801944,1
163,38.0,1.0,1250.0,48.0003,0,1.0,1.0,7.13089883,0
164,40.0,0.0,937.5,170.4,0,0.0,0.0,6.843216758,0
165,22.0,1.0,2812.5,52.2,0,4.0,3.0,7.941829047000001,1
166,21.0,0.0,125.0,48.0003,0,0.0,0.0,4.828313737,0
167,50.0,0.0,,,0,0.0,0.0,,0
168,21.0,0.0,625.0,48.0003,0,1.0,0.0,6.43775165,0
169,28.0,0.0,1250.0,48.0003,0,0.0,0.0,7.13089883,3
170,36.0,0.0,222.7722772,48.0003,0,1.0,1.0,5.406150071,1
173,20.0,1.0,,48.0003,0,4.0,2.0,,2
176,25.0,1.0,1113.861386,45.0,0,0.0,0.0,7.015587984,0
178,24.0,1.0,1562.5,161.7,0,2.0,3.0,7.354042382,0
179,27.0,1.0,600.0,170.4,0,3.0,3.0,6.396929655,0
181,65.0,0.0,1250.0,208.5,0,1.0,1.0,7.13089883,0
182,40.0,0.0,1250.0,161.7,0,1.0,2.0,7.13089883,0
183,22.0,0.0,187.5,48.0003,0,1.0,,5.233778845,0
184,33.0,1.0,1250.0,176.4,0,0.0,0.0,7.13089883,0
185,18.0,1.0,937.5,48.0003,1,1.0,1.0,6.843216758,0
186,59.0,0.0,625.0,48.0,1,2.0,1.0,6.43775165,0
187,28.0,0.0,937.5,170.4,0,0.0,0.0,6.843216758,0
188,47.0,0.0,937.5,158.4,0,2.0,2.0,6.843216758,0
189,41.0,0.0,375.0,239.1,0,2.0,1.0,5.926926026,0
190,25.0,0.0,2125.0,170.4,0,0.0,0.0,7.661527081,0
191,26.0,0.0,117.25,48.0,0,0.0,0.0,4.764308407,0
192,31.0,0.0,1312.5,48.0003,0,2.0,1.0,7.179688994,0
193,52.0,0.0,625.0,48.0,0,1.0,1.0,6.43775165,0
194,28.0,0.0,351.75,48.0,0,0.0,0.0,5.862920696000001,0
196,40.0,0.0,468.75,56.4,1,0.0,0.0,6.150069577000001,0
198,28.0,0.0,312.5,48.0003,0,0.0,0.0,5.7446044689999995,1
199,37.0,0.0,1562.5,48.0,1,0.0,0.0,7.354042382,0
200,32.0,0.0,406.25,48.0,1,1.0,1.0,6.006968734,0
201,13.0,0.0,625.0,48.0003,0,3.0,2.0,6.43775165,2
202,28.0,0.0,800.0,261.3,0,2.0,1.0,6.684611727999999,0
203,36.0,1.0,1093.75,158.4,0,1.0,3.0,6.9973674379999995,0
204,38.0,0.0,1500.0,48.0003,0,1.0,0.0,7.313220387,3
205,43.0,1.0,625.0,176.4,0,0.0,0.0,6.43775165,0
207,35.0,1.0,625.0,48.0003,1,0.0,0.0,6.43775165,0
208,41.0,1.0,1093.75,48.0,1,3.0,1.0,6.9973674379999995,0
209,24.0,1.0,2500.0,48.0,0,0.0,0.0,7.824046011,0
212,45.0,0.0,1562.5,170.4,0,0.0,0.0,7.354042382,0
213,45.0,1.0,,48.0003,0,2.0,2.0,,0
214,36.0,0.0,1406.25,176.4,0,1.0,3.0,7.248681866,0
216,35.0,0.0,990.0990098999999,48.0003,1,1.0,1.0,6.897804947999999,0
218,28.0,1.0,222.7722772,60.0,0,0.0,0.0,5.406150071,0
219,35.0,1.0,625.0,48.0003,0,0.0,0.0,6.43775165,0
220,27.0,1.0,1250.0,170.4,0,2.0,3.0,7.13089883,1
222,25.0,1.0,866.3366337000001,45.0,0,0.0,0.0,6.764273556,1
223,49.0,1.0,187.5,48.0003,1,2.0,1.0,5.233778845,0
224,19.0,0.0,1562.5,82.2,0,1.0,1.0,7.354042382,1
225,20.0,1.0,937.5,48.0,0,0.0,0.0,6.843216758,0
226,36.0,0.0,937.5,176.4,0,2.0,1.0,6.843216758,0
227,42.0,1.0,937.5,138.0,0,0.0,0.0,6.843216758,0
229,21.0,0.0,625.0,21.0,0,1.0,0.0,6.43775165,4
230,19.0,0.0,437.5,48.0003,0,2.0,1.0,6.081076706,1
231,42.0,0.0,2031.25,48.0003,0,2.0,1.0,7.616406646000001,0
232,16.0,1.0,,48.0003,0,3.0,2.0,,0
234,23.0,1.0,562.5,48.0,0,0.0,0.0,6.332391134,0
235,44.0,1.0,,288.0,0,0.0,0.0,,0
236,49.0,1.0,468.75,52.2,1,0.0,0.0,6.150069577000001,0
237,25.0,0.0,625.0,261.3,0,0.0,0.0,6.43775165,0
238,30.0,1.0,1562.5,170.4,0,0.0,0.0,7.354042382,0
239,17.0,1.0,2500.0,48.0003,0,2.0,1.0,7.824046011,0
240,52.0,0.0,1172.5,48.0003,0,0.0,0.0,7.0668935,0
241,18.0,0.0,117.25,48.0003,0,3.0,2.0,4.764308407,0
242,50.0,1.0,1250.0,303.6,1,1.0,0.0,7.13089883,0
243,25.0,0.0,293.13,118.5,0,1.0,1.0,5.680616197000001,0
249,29.0,0.0,781.25,48.0003,0,2.0,2.0,6.660895201000001,0
250,35.0,0.0,468.75,48.0003,0,0.0,1.0,6.150069577000001,0
251,38.0,0.0,1237.623762,112.5,0,0.0,0.0,7.120948499,0
252,19.0,1.0,168.75,48.0003,0,1.0,1.0,5.12841833,0
253,32.0,1.0,1562.5,197.4,1,0.0,0.0,7.354042382,0
254,35.0,0.0,250.0,48.0003,1,1.0,0.0,5.521460918,0
255,42.0,1.0,375.0,48.0,1,0.0,0.0,5.926926026,0
256,29.0,1.0,156.25,48.0003,0,2.0,1.0,5.051457289,1
257,28.0,0.0,2187.5,551.7,0,0.0,0.0,7.690514618,0
258,37.0,1.0,1250.0,186.9,1,3.0,2.0,7.13089883,0
259,28.0,0.0,,48.0003,0,1.0,0.0,,1
261,44.0,0.0,1281.25,170.4,0,0.0,0.0,7.155591443,0
262,22.0,0.0,1000.0,535.5,0,0.0,0.0,6.907755279,0
263,62.0,1.0,247.52475249999998,48.0003,0,0.0,0.0,5.511510587,0
265,37.0,0.0,1250.0,60.0,0,3.0,0.0,7.13089883,0
267,21.0,0.0,175.88,48.0,0,1.0,0.0,5.169801944,0
269,34.0,1.0,118.75,48.0,0,,1.0,4.7770204430000005,0
270,36.0,0.0,2187.5,48.0,0,0.0,0.0,7.690514618,0
271,55.0,1.0,1250.0,48.0003,1,2.0,2.0,7.13089883,0
273,41.0,0.0,,303.6,0,0.0,1.0,,0
274,31.0,0.0,468.75,60.0,0,2.0,2.0,6.150069577000001,1
276,43.0,0.0,468.75,60.0,0,1.0,1.0,6.150069577000001,1
278,27.0,0.0,2812.5,48.0003,0,1.0,1.0,7.941829047000001,0
279,27.0,0.0,2187.5,170.4,0,0.0,0.0,7.690514618,0
281,62.0,0.0,,48.0,0,1.0,1.0,,0
282,44.0,,656.25,48.0,0,1.0,0.0,6.486541814,0
283,47.0,1.0,117.25,48.0,1,0.0,0.0,4.764308407,0
284,19.0,0.0,1250.0,48.0003,0,1.0,0.0,7.13089883,0
285,37.0,0.0,1562.5,48.0,0,3.0,1.0,7.354042382,1
286,32.0,1.0,2000.0,48.0003,0,0.0,0.0,7.60090246,1
287,19.0,0.0,,303.6,1,0.0,0.0,,0
288,55.0,1.0,1500.0,48.0003,1,1.0,1.0,7.313220387,0
289,25.0,1.0,1406.25,303.6,0,2.0,3.0,7.248681866,1
290,20.0,1.0,1732.6732670000001,48.0003,0,1.0,1.0,7.457420736,2
291,41.0,1.0,,48.0003,1,1.0,1.0,,0
292,32.0,1.0,875.0,48.0,0,2.0,0.0,6.774223886000001,1
293,21.0,0.0,2031.25,48.0003,0,0.0,0.0,7.616406646000001,0
294,33.0,0.0,431.25,48.0003,1,1.0,1.0,6.066687967999999,0
295,23.0,1.0,375.0,48.0003,0,1.0,2.0,5.926926026,0
296,62.0,1.0,250.0,176.4,0,1.0,2.0,5.521460918,0
297,52.0,0.0,1093.75,261.3,0,0.0,0.0,6.9973674379999995,0
298,24.0,1.0,1250.0,48.0003,0,4.0,3.0,7.13089883,3
299,28.0,0.0,656.25,170.4,0,0.0,0.0,6.486541814,0
300,38.0,0.0,2500.0,48.0003,0,3.0,0.0,7.824046011,0
302,27.0,1.0,93.75,48.0003,0,4.0,3.0,4.540631665,4
303,33.0,0.0,468.75,48.0003,0,1.0,1.0,6.150069577000001,0
304,49.0,0.0,843.75,48.0003,0,2.0,2.0,6.737856242,1
305,24.0,0.0,256.63,82.2,0,0.0,0.0,5.547635359,5
306,47.0,0.0,1250.0,457.8,0,0.0,0.0,7.13089883,0
307,53.0,0.0,250.0,48.0,0,0.0,0.0,5.521460918,1
308,66.0,1.0,937.5,48.0003,1,0.0,0.0,6.843216758,0
311,26.0,1.0,312.5,48.0003,0,0.0,0.0,5.7446044689999995,1
312,23.0,0.0,625.0,48.0,0,0.0,0.0,6.43775165,0
313,19.0,1.0,1250.0,48.0003,0,2.0,2.0,7.13089883,2
314,28.0,1.0,1312.5,48.0003,0,3.0,1.0,7.179688994,0
315,38.0,1.0,1000.0,87.0,0,2.0,1.0,6.907755279,0
316,30.0,1.0,625.0,176.4,0,0.0,0.0,6.43775165,0
318,32.0,1.0,781.25,48.0003,0,0.0,0.0,6.660895201000001,0
320,25.0,0.0,1875.0,48.0003,0,5.0,3.0,7.536363937999999,2
322,38.0,0.0,781.25,170.4,0,0.0,0.0,6.660895201000001,0
323,42.0,0.0,656.25,420.9,0,2.0,0.0,6.486541814,1
324,32.0,1.0,,176.4,0,2.0,2.0,,1
325,30.0,1.0,625.0,48.0003,0,2.0,1.0,6.43775165,0
326,52.0,1.0,625.0,163.5,0,0.0,2.0,6.43775165,0
327,59.0,0.0,468.75,170.4,0,0.0,0.0,6.150069577000001,0
328,54.0,1.0,937.5,161.7,1,0.0,0.0,6.843216758,0
329,26.0,0.0,625.0,48.0003,0,2.0,2.0,6.43775165,2
330,38.0,0.0,2812.5,161.7,0,1.0,0.0,7.941829047000001,0
331,43.0,0.0,1718.75,161.7,0,0.0,0.0,7.449352561,0
334,18.0,1.0,1237.623762,48.0003,0,0.0,0.0,7.120948499,0
335,25.0,1.0,1093.75,48.0003,0,3.0,1.0,6.9973674379999995,0
336,20.0,1.0,312.5,48.0003,1,1.0,0.0,5.7446044689999995,0
337,27.0,1.0,700.0,595.2,0,2.0,1.0,6.551080335,1
338,20.0,0.0,265.63,48.0,0,1.0,2.0,5.582104362999999,0
339,20.0,0.0,,48.0003,0,4.0,1.0,,1
341,35.0,1.0,1031.25,403.8,0,0.0,0.0,6.938526938,0
343,35.0,0.0,2000.0,48.0,0,4.0,4.0,7.60090246,3
344,28.0,1.0,375.0,48.0003,0,2.0,1.0,5.926926026,0
345,25.0,1.0,375.0,48.0003,0,2.0,2.0,5.926926026,0
346,16.0,0.0,,29.4,0,2.0,1.0,,0
349,30.0,0.0,1758.75,48.0003,1,0.0,0.0,7.4723586079999995,0
350,23.0,1.0,625.0,190.8,0,1.0,1.0,6.43775165,1
351,35.0,0.0,879.38,48.0,1,0.0,0.0,6.779217114,0
352,35.0,1.0,625.0,197.4,1,1.0,1.0,6.43775165,0
353,29.0,1.0,1500.0,176.4,0,2.0,1.0,7.313220387,0
354,22.0,0.0,1093.75,48.0003,0,5.0,0.0,6.9973674379999995,3
355,27.0,1.0,1406.25,48.0,1,1.0,2.0,7.248681866,0
357,19.0,1.0,2351.4851489999996,170.4,0,0.0,0.0,7.762802386000001,0
358,54.0,0.0,562.5,21.0,0,0.0,0.0,6.332391134,0
360,33.0,1.0,1875.0,288.0,0,0.0,0.0,7.536363937999999,0
361,49.0,0.0,937.5,170.4,0,0.0,0.0,6.843216758,0
362,29.0,1.0,586.25,29.4,1,1.0,2.0,6.37374632,1
364,35.0,1.0,2812.5,197.4,0,2.0,3.0,7.941829047000001,1
365,54.0,0.0,1237.623762,48.0003,1,0.0,0.0,7.120948499,0
366,42.0,1.0,1250.0,82.2,0,3.0,4.0,7.13089883,0
367,53.0,0.0,187.5,48.0003,0,0.0,2.0,5.233778845,0
368,52.0,0.0,1875.0,48.0003,0,2.0,2.0,7.536363937999999,0
369,24.0,0.0,203.13,177.9,1,2.0,2.0,5.313846168,0
370,24.0,0.0,1000.0,535.5,0,0.0,0.0,6.907755279,0
371,48.0,0.0,937.5,161.7,0,2.0,1.0,6.843216758,0
372,56.0,0.0,625.0,48.0,1,0.0,0.0,6.43775165,0
373,46.0,1.0,1250.0,87.0,0,0.0,0.0,7.13089883,0
375,44.0,1.0,781.25,403.8,0,0.0,0.0,6.660895201000001,0
377,28.0,0.0,371.2871287,48.0003,0,0.0,0.0,5.916975695,0
378,24.0,1.0,,48.0003,0,0.0,1.0,,0
379,57.0,0.0,1718.75,988.5,0,0.0,0.0,7.449352561,0
381,26.0,0.0,3000.0,48.0,0,2.0,1.0,8.006367568,0
382,23.0,0.0,937.5,87.0,0,1.0,2.0,6.843216758,0
383,33.0,0.0,445.5445545,21.0,1,0.0,1.0,6.099297252,1
384,35.0,1.0,3125.0,161.7,0,1.0,1.0,8.047189562,1
386,46.0,1.0,1000.0,170.4,0,0.0,0.0,6.907755279,0
387,20.0,1.0,495.04950499999995,48.0003,1,0.0,0.0,6.204657768,0
388,57.0,1.0,781.25,48.0003,1,0.0,2.0,6.660895201000001,0
389,40.0,0.0,625.0,203.7,0,2.0,1.0,6.43775165,0
390,58.0,0.0,148.5148515,52.2,0,0.0,0.0,5.000684963,0
391,45.0,1.0,1250.0,48.0003,0,0.0,0.0,7.13089883,0
392,33.0,1.0,1000.0,535.5,0,0.0,3.0,6.907755279,0
393,18.0,0.0,742.5742574,48.0003,0,1.0,1.0,6.610122876,0
394,23.0,0.0,1000.0,595.2,0,0.0,0.0,6.907755279,0
395,34.0,0.0,218.75,60.0,1,0.0,1.0,5.387929525,0
396,23.0,1.0,234.5,29.4,0,1.0,1.0,5.457455587999999,0
398,39.0,0.0,375.0,48.0,0,0.0,0.0,5.926926026,0
399,29.0,1.0,781.25,87.0,0,0.0,0.0,6.660895201000001,0
400,53.0,0.0,625.0,161.7,0,0.0,0.0,6.43775165,0
402,46.0,1.0,,48.0,0,0.0,1.0,,0
403,28.0,0.0,562.5,160.2,1,0.0,0.0,6.332391134,0
405,69.0,0.0,500.0,48.0003,0,1.0,1.0,6.214608097999999,1
406,35.0,0.0,718.75,138.0,0,1.0,2.0,6.577513592000001,0
407,47.0,1.0,562.5,177.9,0,2.0,1.0,6.332391134,0
408,20.0,1.0,117.25,48.0003,0,1.0,0.0,4.764308407,0
410,45.0,0.0,1187.5,203.7,0,0.0,3.0,7.079605536,2
